TransactionID,CustomerID,TransactionDate,OrderValue,ItemsCount,Category
TX103176,C0674,2025-01-08 00:00:00,73.51,1,Electronics
TX104202,C0910,2025-01-08 00:00:00,191.45,10,Apparel
TX103062,C0652,2025-01-16 00:00:00,72.8,5,Apparel
TX104529,C0978,2025-01-18 00:00:00,320.06,4,Apparel
TX101963,C0428,2025-01-26 00:00:00,142.03,7,Electronics
TX104029,C0874,2025-01-26 00:00:00,192.02,9,Sports & Outdoors
TX104000,C0869,2025-01-28 00:00:00,255.88,10,Apparel
TX100327,C0076,2025-01-29 00:00:00,117.21,9,Home & Kitchen
TX101167,C0259,2025-01-30 00:00:00,233.21,7,Electronics
TX104367,C0949,2025-01-30 00:00:00,69.94,5,Apparel
TX103447,C0734,2025-02-02 00:00:00,191.55,6,Electronics
TX102574,C0545,2025-02-03 00:00:00,499.04,3,Home & Kitchen
TX100588,C0134,2025-02-05 00:00:00,26.02,4,Apparel
TX104204,C0910,2025-02-06 00:00:00,245.72,8,Electronics
TX100386,C0094,2025-02-13 00:00:00,375.89,3,Beauty & Personal Care
TX102570,C0542,2025-02-14 00:00:00,108.24,3,Books
TX102601,C0549,2025-02-15 00:00:00,427.83,10,Books
TX101356,C0305,2025-02-16 00:00:00,116.59,10,Home & Kitchen
TX100340,C0080,2025-02-19 00:00:00,79.05,2,Beauty & Personal Care
TX101262,C0280,2025-02-19 00:00:00,89.07,1,Apparel
TX103449,C0734,2025-02-19 00:00:00,117.9,10,Apparel
TX100159,C0043,2025-02-23 00:00:00,53.93,3,Books
TX102337,C0497,2025-02-24 00:00:00,266.83,8,Electronics
TX101261,C0280,2025-02-25 00:00:00,213.07,6,Electronics
TX100326,C0075,2025-02-26 00:00:00,16.97,1,Beauty & Personal Care
TX102345,C0497,2025-02-26 00:00:00,196.72,8,Home & Kitchen
TX100733,C0165,2025-02-28 00:00:00,109.27,6,Apparel
TX103335,C0708,2025-02-28 00:00:00,66.04,3,Home & Kitchen
TX103705,C0794,2025-02-28 00:00:00,242.76,6,Electronics
TX100160,C0043,2025-03-01 00:00:00,60.55,2,Beauty & Personal Care
TX104375,C0950,2025-03-01 00:00:00,157.39,6,Beauty & Personal Care
TX101608,C0355,2025-03-02 00:00:00,80.46,2,Home & Kitchen
TX103098,C0661,2025-03-02 00:00:00,151.61,10,Apparel
TX104158,C0896,2025-03-02 00:00:00,115.13,5,Home & Kitchen
TX102679,C0573,2025-03-04 00:00:00,56.51,1,Apparel
TX103434,C0730,2025-03-05 00:00:00,31.92,4,Sports & Outdoors
TX101119,C0248,2025-03-06 00:00:00,66.09,5,Apparel
TX101606,C0355,2025-03-06 00:00:00,57.42,4,Electronics
TX103082,C0657,2025-03-06 00:00:00,113.81,3,Electronics
TX104490,C0973,2025-03-06 00:00:00,169.28,9,Books
TX100541,C0123,2025-03-08 00:00:00,62.49,2,Apparel
TX102594,C0549,2025-03-09 00:00:00,285.2,10,Electronics
TX104547,C0983,2025-03-09 00:00:00,78.17,5,Books
TX104527,C0978,2025-03-10 00:00:00,237.56,9,Apparel
TX100734,C0165,2025-03-13 00:00:00,103.65,4,Apparel
TX100156,C0042,2025-03-14 00:00:00,39.31,5,Electronics
TX104394,C0955,2025-03-14 00:00:00,100.14,4,Apparel
TX101234,C0275,2025-03-15 00:00:00,65.39,2,Apparel
